latency,average,timestamp,callback_time
10952960,22.409913,1743572607992132096,1743572608003085056
8916992,22.413682,1743572608053561600,1743572608062478592
10109440,22.419793,1743572608117004288,1743572608127113728
11973888,22.416538,1743572608180992512,1743572608192966400
12656896,22.419101,1743572608244512000,1743572608257168896
10524672,22.423935,1743572608307929600,1743572608318454272
9826816,22.429106,1743572608371673600,1743572608381500416
10003968,22.422838,1743572608435720448,1743572608445724416
9156864,22.434125,1743572608498365184,1743572608507522048
12314880,22.437169,1743572608561281536,1743572608573596416
7815680,22.439259,1743572608623027712,1743572608630843392
8827136,22.438522,1743572608684908288,1743572608693735424
8836864,22.441532,1743572608746792448,1743572608755629312
7354624,22.437902,1743572608809600000,1743572608816954624
9998848,22.439213,1743572608870875904,1743572608880874752
9855744,22.444152,1743572608932760832,1743572608942616576
8556800,22.447310,1743572608994796032,1743572609003352832
9914368,22.445145,1743572609057285120,1743572609067199488
8282368,22.456024,1743572609119709696,1743572609127992064
8674048,22.451315,1743572609181857536,1743572609190531584
9266688,22.453436,1743572609245350144,1743572609254616832
9391104,22.447750,1743572609306972928,1743572609316364032
8324864,22.448771,1743572609370884864,1743572609379209728
10319616,22.445830,1743572609432034816,1743572609442354432
11292672,22.433251,1743572609496078336,1743572609507371008
8749312,22.433289,1743572609559538176,1743572609568287488
9256192,22.431949,1743572609621764096,1743572609631020288
8973312,22.422598,1743572609685126912,1743572609694100224
10158592,22.421919,1743572609747506688,1743572609757665280
9165056,22.431691,1743572609811132928,1743572609820297984
10455296,22.434549,1743572609873183488,1743572609883638784
8943104,22.433342,1743572609936773888,1743572609945716992
11054080,22.433201,1743572609997857024,1743572610008911104
9070336,22.434888,1743572610061392128,1743572610070462464
9246464,22.426097,1743572610123642112,1743572610132888576
9641472,22.433481,1743572610187641088,1743572610197282560
9461248,22.423820,1743572610251100672,1743572610260561920
10030336,22.428743,1743572610315179264,1743572610325209600
10412288,22.430902,1743572610379215616,1743572610389627904
9774080,22.434409,1743572610441317376,1743572610451091456
10662912,22.436654,1743572610504842496,1743572610515505408
9646848,22.428480,1743572610567020288,1743572610576667136
10630400,22.436748,1743572610630307584,1743572610640937984
10522880,22.447397,1743572610692474880,1743572610702997760
12353792,22.438991,1743572610756527104,1743572610768880896
9606144,22.438885,1743572610818952192,1743572610828558336
10921216,22.439298,1743572610881039104,1743572610891960320
10387456,22.440406,1743572610944844032,1743572610955231488
10089984,22.437135,1743572611007219968,1743572611017309952
12385792,22.440522,1743572611069195264,1743572611081581056
10288896,22.438441,1743572611130614528,1743572611140903424
10714624,22.439017,1743572611192543488,1743572611203258112
11039744,22.443574,1743572611253170432,1743572611264210176
10882304,22.443215,1743572611315229440,1743572611326111744
11069184,22.442851,1743572611378778368,1743572611389847552
10828800,22.437774,1743572611440267008,1743572611451095808
10442240,22.427979,1743572611504045568,1743572611514487808
11915520,22.438043,1743572611567969792,1743572611579885312
10593024,22.433996,1743572611629355776,1743572611639948800
11283712,22.433153,1743572611690574592,1743572611701858304
11700480,22.428289,1743572611752823552,1743572611764524032
9820416,22.424105,1743572611815493120,1743572611825313536
12829696,22.435851,1743572611876795392,1743572611889625088
11117056,22.439425,1743572611938540288,1743572611949657344
10777600,22.428112,1743572612001782528,1743572612012560128
13228544,22.431297,1743572612063727104,1743572612076955648
10387456,22.431556,1743572612125182720,1743572612135570176
11330048,22.423664,1743572612188243200,1743572612199573248
11293184,22.431714,1743572612249699072,1743572612260992256
10842368,22.430357,1743572612312898560,1743572612323740928
10659584,22.423295,1743572612375476480,1743572612386136064
10896640,22.426143,1743572612437645824,1743572612448542464
11031552,22.417831,1743572612500182272,1743572612511213824
10274304,22.426424,1743572612562496512,1743572612572770816
10795008,22.436608,1743572612624977664,1743572612635772672
11404032,22.442366,1743572612687146240,1743572612698550272
10947072,22.438561,1743572612750274560,1743572612761221632
17309952,22.432361,1743572612813860608,1743572612831170560
10918912,22.435421,1743572612876360704,1743572612887279616
10532096,22.437997,1743572612938442240,1743572612948974336
11823104,22.439585,1743572613002002432,1743572613013825536
11856896,22.438101,1743572613063040512,1743572613074897408
10742528,22.429021,1743572613126701824,1743572613137444352
11051520,22.417930,1743572613188250624,1743572613199302144
14199808,22.427963,1743572613250309376,1743572613264509184
