timestamp,event,temperature,latency
174631739797000,INSERT,18.471786,4400
174631739855700,INSERT,23.772850,700
174631739858900,INSERT,26.808374,300
174631739860800,INSERT,25.128330,200
174631739862400,INSERT,17.667929,800
174631739864600,INSERT,25.714287,3100
174631739869100,INSERT,27.578356,200
174631739870700,INSERT,17.477951,200
174631739872200,INSERT,28.308512,100
174631739873600,INSERT,25.713829,100
174631739874700,INSERT,21.847897,200
174631739876200,INSERT,21.775108,100
174631739877600,INSERT,24.358349,100
174631739878900,INSERT,24.948425,100
174631739880300,INSERT,19.364452,100
174631739881400,INSERT,21.443678,100
174631739882800,INSERT,25.055544,100
174631739883900,INSERT,19.676657,200
174631739885100,INSERT,26.936552,100
174631739886200,INSERT,16.807764,100
174631739887600,INSERT,19.677572,100
174631739888700,INSERT,18.810999,200
174631739889800,INSERT,20.089571,200
174631739891200,INSERT,21.996674,100
174631739892400,INSERT,16.206701,100
174631739893800,INSERT,19.799799,100
174631739894900,INSERT,24.796898,100
174631739896000,INSERT,16.642506,200
174631739897200,INSERT,15.607928,100
174631739898600,INSERT,27.666248,100
174631739900000,INSERT,24.736015,200
174631739901200,INSERT,15.966826,100
174631739902600,INSERT,20.942411,100
174631739904000,INSERT,29.543594,100
174631739905300,INSERT,17.059999,200
174631739906400,INSERT,25.353100,200
174631739907600,INSERT,18.032318,100
174631739908700,INSERT,24.550615,200
174631739909800,INSERT,22.142246,200
174631739911300,INSERT,27.988983,100
174631739912400,INSERT,21.900539,100
174631739913500,INSERT,21.358074,200
174631739914700,INSERT,25.258339,100
174631739915800,INSERT,26.684317,100
174631739916900,INSERT,20.697500,100
174631739918000,INSERT,28.278755,100
174631739919100,INSERT,15.688498,100
174631739920200,INSERT,18.450270,200
174631739921400,INSERT,16.335794,100
174631739922500,INSERT,23.230843,200
174631739923900,INSERT,26.195868,200
174631739925300,INSERT,27.936796,200
174631739926400,INSERT,23.557238,200
174631739927600,INSERT,18.424177,100
174631739928700,INSERT,23.353527,100
174631739929800,INSERT,18.317514,100
174631739930900,INSERT,16.642048,200
174631739932100,INSERT,27.099064,100
174631739933200,INSERT,16.695608,100
174631739934300,INSERT,15.728324,100
174631739935400,INSERT,15.485245,100
174631739936800,INSERT,17.174902,200
174631739938000,INSERT,27.148960,100
174631739939100,INSERT,25.834225,32000
174631739972900,INSERT,15.257271,200
174631739974500,INSERT,19.144718,200
174631739975700,INSERT,27.723015,200
174631739976900,INSERT,18.634754,200
174631739978100,INSERT,26.365704,200
174631739979400,INSERT,23.062838,100
174631739980500,INSERT,21.926634,200
174631739981700,INSERT,25.094913,100
174631739982800,INSERT,18.940092,100
174631739983900,INSERT,26.964476,100
174631739985000,INSERT,27.875912,100
174631739986100,INSERT,21.694998,100
174631739987200,INSERT,23.556780,200
174631739988400,INSERT,21.570024,100
174631739989500,INSERT,28.564409,200
174631739990600,INSERT,21.494949,200
174631739991700,INSERT,17.421644,200
174631739992800,INSERT,18.609119,100
174631739993900,INSERT,16.262093,200
174631739995100,INSERT,17.803888,200
174631739996200,INSERT,27.732628,100
174631739997300,INSERT,27.610401,100
174631739998400,INSERT,26.522263,100
174631739999500,INSERT,19.054995,200
174631740000600,INSERT,21.434523,200
174631740001700,INSERT,28.504440,200
174631740002900,INSERT,19.742577,100
174631740004000,INSERT,15.970489,100
174631740005100,INSERT,28.095646,100
174631740006200,INSERT,24.881588,100
174631740007400,INSERT,15.778222,100
